,billing_amount,merchant_name,merchant_category
334,185.0,NEW KABAB ZONE,FOOD
335,223.0,KFC RESTAURANTS.,FOOD
336,609.0,BANGALORE,FOOD
337,614.0,ADYAR ANANDA BHAVAN SW,FOOD
338,235.0,AMAZON SELLER SERVICES,FOOD
339,285.0,AMAZON SELLER SERVICES,FOOD
340,3993.0,DECATHLON SPORTS,GENERAL
341,500.0,SREE TIRUMALA SUPER SE,FUEL
342,688.0,COLUMBIA ASIA HOSPITA,MEDICAL
343,1338.21,BESCOM,UTILITIES
344,700.0,COLUMBIA ASIA HOSPITA,MEDICAL
345,2145.0,MADHULOKA LIQUOR,GENERAL
346,7248.75,LIFE INSURANCE CORPORA,INVESTMENTS
347,219.0,NAMDHARI AGRO FRESH PR,FOOD
348,234.0,NKP EMPIRE VENTURES,FOOD
349,494.0,GOOD FOOD RETAIL,FOOD
350,353.0,THOMAS I C,TRAVEL
351,706.0,TOP IN TOWN SUPER MARK,FOOD
352,118.0,RAINBOW RETAIL,FOOD
353,179.0,AMAZON SELLER SERVICES,FOOD
354,395.0,TATA SKY LTD,UTILITIES
355,680.0,NiYO,MOBILE
356,1136.5,DMART SIDDAPURA,FOOD
357,860.0,STAR GOLDEN AMULY WINE,GENERAL
358,126.0,MAST KALANDAR,FOOD
359,260.0,KHAN SAHEB,FOOD
360,40.0,RUCHIES FOOD,FOOD
361,117.0,TOP IN TOWN SUPERMAR,FOOD
362,848.6,ADITYA BIRLA RETAIL LT,FOOD
363,299.0,www.airtel.in,UTILITIES
364,550.0,RELIANCE INFOCOM-BILLD,MOBILE
365,1138.0,BHARTI AIRTEL LIMITED,MOBILE
366,320.0,MAMATHA PETROLEUM,FUEL
367,1810.0,FASO SUPER SHOPPE,FOOD
368,150.0,www.freshmenu.com,FOOD
369,58.0,SREE SPICY HUB,FOOD
370,344.0,WWW BIGBASKET COM,FOOD
371,635.0,BIRIYANI ZONE,FOOD
372,389.0,APOLLO PHARMACY,FOOD
373,3668.55,DMART Ramanthpur,FOOD
374,685.0,FUTURE RETAIL LTD.,FOOD
375,395.78,VILLAGE HYPER,FOOD
376,340.0,IMPERIO RESTAURANT,FOOD
377,212.0,KFC RESTAURANTS.,FOOD
378,70.0,MORE MEGASTORE,FOOD
379,70.0,MORE MEGASTORE,FOOD
380,3003.9,MORE MEGASTORE,FOOD
381,28.5,MORE MEGASTORE,FOOD
382,374.0,NAGA S FOODS,FOOD
383,100.0,CLICK HOME SHOP,FOOD
384,702.0,KPN MARGIN FREE MARKET,FOOD
385,70.0,MORE MEGASTORE,FOOD
386,146.0,THE BIG MARKE3.,FOOD
387,1402.0,ADARSH REALTY,TRAVEL
388,900.0,www.bigbasket.com,FOOD
389,530.0,WWW MOBIKWIK COM,MOBILE
390,450.0,NKP EMPIRE VENTURES,FOOD
391,500.0,NiYO,MOBILE
392,9400.0,NiYO,MOBILE
393,191.0,Ashirwad Super Market,FOOD
394,184.0,S R ENTERPRISES,FOOD
395,2200.0,M K AHMED SUPER,FOOD
396,120.0,BCF,FOOD
397,1910.0,STAR GOLDEN AMULY WINE,GENERAL
398,371.0,WWW SWIGGY IN,FOOD
399,1080.0,THREE ACES.,FOOD
400,292.0,Reliance Mart,FOOD
401,278.0,Ashirwad Super Market,FOOD
402,128.0,NOVEL FRESH,GENERAL
403,298.0,VASUDEV ADIGAS,FOOD
404,700.0,GOOD FOOD RETAIL,FOOD
405,2054.0,www.airtel.in,UTILITIES
406,500.0,SHELL S R N S ENTERPRI,FUEL
407,769.0,VILLAGE HYPER,FOOD
408,112.0,ASHIRWAD SUPER MARKET,FOOD
409,625.0,VILLAGE HYPER MARKET,FOOD
410,190.0,WWW FOODPANDA IN,FOOD
411,175.0,A M RETAIL,GENERAL
412,170.0,ZOMATO COM,FOOD
413,97.61,MC DONALDS.,FOOD
414,721.0,Ashirwad Super Market,FOOD
415,375.0,RUCHI SAGAR,FOOD
416,683.0,HOPE AND FAITH GROUP,FOOD
417,239.67,HERITAGE FOODS,FOOD
418,273.08,HARDCASTLE RESTAURANT,FOOD
419,705.0,MEGHANA FOODS,FOOD
420,978.0,STAR BAZAAR.,FOOD
421,243.5,"MORE,",FOOD
422,1884.0,APNA DAY,FOOD
423,268.0,Sowbhagya Traders1.,FOOD
424,194.0,ATHULYA HOME NEEDS,FOOD
425,1966.0,ULTRACASH TECHNOLOGIES,FOOD
426,285.0,ADARSH REALTY,TRAVEL
427,1000.0,ADARSH REALTY,TRAVEL
428,220.0,ONE97 COMMUNICATION LT,MOBILE
429,400.0,TATA SKY LTD,UTILITIES
430,251.0,DOMINOS,FOOD
431,261.99,"MC DONALDS,",FOOD
432,2200.0,FOOD ZONE SUPER MARKET,FOOD
433,425.0,FOUR POINTS SUPER MA,FOOD
434,1460.0,Royal Mart Supermark3.,FOOD
435,2200.0,M K RETAIL COMPANY,FOOD
436,244.0,EDENS FRESH FRUITS,FOOD
437,182.19,WWW FOODPANDA IN,FOOD
438,205.0,NEW TASTY CAFETERIA,FOOD
439,336.0,THE BIG MARKET5.,FOOD
440,1920.0,M K RETAIL COMPANY,FOOD
441,317.07,MORE MEGASTORE,FOOD
442,430.0,WWW SWIGGY IN,FOOD
443,1569.0,FAIRWAY SHOPPE,FOOD
444,400.0,KANTI SWEETS UTTARAHAL,FOOD
445,261.0,FAMILY FOOD CENTER,FOOD
446,100.0,Shop On Supermarket,FOOD
447,924.0,GOOD FOOD RETAIL,FOOD
448,252.0,WWW GROFERS COM,FOOD
449,1.0,UBER INDIA SYSTEMS PVT,TRAVEL
